ref,source_name,source_brand,source_price_cents,source,observed_on,notes
S01,White Wicker Baby Gift Bassinet,,,supplier_spec,2026-09-26,"White gloss willow bassinet. 10""H X 6 3/4""W X 12""D. Baby White Basket container; rattle in photo is a prop, not included"
S02,Blue/White Baby Planter — Bowl,,1495,supplier_spec,2026-09-26,"Bowl: 3.5""H X 3"" opening. Price = project-lead assumption 2026-09-26 (empty container); stock approx. 5, exact count needed"
S03,Blue/White Baby Planter — Shoes,,1995,supplier_spec,2026-09-26,"Shoes: 3""H X 5.75""W X 5""D, opening 2.5""H X 5""W X 3.25""D. Price = project-lead assumption 2026-09-26 (empty container); stock approx. 5, exact count needed"
S04,Blue/White Baby Planter — Block,,1495,supplier_spec,2026-09-26,"Block: 4""H X 3.5""W X 3"" opening. Price = project-lead assumption 2026-09-26 (empty container); stock approx. 5, exact count needed"
S05,Pink/White Baby Planter — Bowl,,1495,supplier_spec,2026-09-26,"Pink and white gingham bowl with a pink bow. 3.5""H X 3"" opening. Price = project-lead assumption 2026-09-26; stock approx. 5, exact count needed"
S06,Pink/White Baby Planter — Shoes,,1995,supplier_spec,2026-09-26,"White pair of shoes with a pink bow and ruffle rim. 3""H X 5.75""W X 5""D, opening 2.5""H X 5""W X 3.25""D. Price = project-lead assumption 2026-09-26; stock approx. 5, exact count needed"
S07,Pink/White Baby Planter — Block,,1495,supplier_spec,2026-09-26,"Pink gingham block that spells ""BABY"". 4""H X 3.5""W X 3"" opening. Price = project-lead assumption 2026-09-26; stock approx. 5, exact count needed"
